trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.44932896411722156}",25,2,-112.37684610296901,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 1}",1
2,False,"{'a': 0.8, 'e': 0.20189651799465538}",20,0,-224.91899143791025,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.8, 'e': 0.09071795328941247}",20,0,-44.85013551909255,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.04076220397836621}",30,0,-124.4324241623187,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.01831563888873418}",25,0,-33.77065322808388,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.008229747049020023}",20,0,-140.67591376085304,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.003697863716482929}",25,0,-114.08765394044208,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.001661557273173934}",25,7,-96.08124214364304,"{0: 12, 1: 1, 2: 1, 3: 3, 4: 1}",1
9,False,"{'a': 0.8, 'e': 0.0007465858083766792}",20,0,-43.20165089948242,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.00033546262790251185}",20,0,-34.95079156885033,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.0001507330750954765}",30,4,-123.0319229645854,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 3}",1
12,False,"{'a': 0.8, 'e': 6.772873649085378e-05}",20,0,-33.582941342655374,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.8, 'e': 3.0432483008403625e-05}",20,0,10.262465297662454,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 1.3674196065680938e-05}",20,0,-122.97981077065863,"{0: 15, 1: 0, 2: 0, 3: 3, 4: 2}",0
15,False,"{'a': 0.8, 'e': 6.14421235332821e-06}",25,0,-87.35405296392688,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.8, 'e': 2.7607725720371986e-06}",25,0,-27.679388855037,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.8, 'e': 1.2404950799567113e-06}",20,0,-51.77869963857581,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.8, 'e': 5.573903692694596e-07}",20,15,6.426631337897157,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 2.504516372327617e-07}",20,0,-8.801703906625452,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.8, 'e': 1.1253517471925912e-07}",20,0,-30.15262302659587,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-97.33430502237195,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,5,21.79475615864297,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-66.91748416782731,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,2,-45.412912455842736,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.4259991848094,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,5,-113.59755197146454,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.13828960702133,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,8,21.017126947904586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-40.56901638611413,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,1,12.09461602775307,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,0,-25.624052041022356,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,True,"{'a': 0.0, 'e': 0.0}",30,0,26.685291166545383,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",30,18,-47.133022518247444,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,True,"{'a': 0.0, 'e': 0.0}",30,3,-21.39421363484404,"{0: 23, 1: 2, 2: 0, 3: 2, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",30,0,-2.5254041114465955,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",25,6,27.42310218314336,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,0,-25.683932949277175,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,True,"{'a': 0.0, 'e': 0.0}",20,9,11.741649798771832,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,9,12.517163957484957,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,0,6.971469595167737,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
21,True,"{'a': 0.0, 'e': 0.0}",25,0,13.454730552020202,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",30,0,-55.58614249129968,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
23,True,"{'a': 0.0, 'e': 0.0}",20,0,-100.34099419213337,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
24,True,"{'a': 0.0, 'e': 0.0}",25,11,15.882395947869377,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",25,0,-188.93960960319956,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 5}",0
26,True,"{'a': 0.0, 'e': 0.0}",25,0,14.902220010634208,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
27,True,"{'a': 0.0, 'e': 0.0}",25,14,-25.23496206572371,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,True,"{'a': 0.0, 'e': 0.0}",35,0,-7.556672110660197,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
29,True,"{'a': 0.0, 'e': 0.0}",25,0,-63.14598824892246,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
30,True,"{'a': 0.0, 'e': 0.0}",35,22,-3.5483881192526034,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",25,12,-2.6517014834057107,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,True,"{'a': 0.0, 'e': 0.0}",30,9,22.531130039101367,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",35,0,-8.771477095617103,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,13,-11.534287342851911,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",25,3,-23.73001363306727,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,True,"{'a': 0.0, 'e': 0.0}",20,4,-49.523182262630776,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
37,True,"{'a': 0.0, 'e': 0.0}",25,9,-19.09708173744961,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.76894359794726,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
39,True,"{'a': 0.0, 'e': 0.0}",25,0,-71.61027943195313,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
40,True,"{'a': 0.0, 'e': 0.0}",25,0,-12.675560444689921,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
41,True,"{'a': 0.0, 'e': 0.0}",30,2,-110.1473451281485,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 3}",1
42,True,"{'a': 0.0, 'e': 0.0}",20,0,-100.9290850038554,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
43,True,"{'a': 0.0, 'e': 0.0}",20,0,13.881721459923991,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,True,"{'a': 0.0, 'e': 0.0}",30,0,-96.95571481612627,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
45,True,"{'a': 0.0, 'e': 0.0}",30,10,-53.15186665436745,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
46,True,"{'a': 0.0, 'e': 0.0}",30,0,-1.4459071012548796,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
47,True,"{'a': 0.0, 'e': 0.0}",25,0,-95.2134886303754,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
48,True,"{'a': 0.0, 'e': 0.0}",25,0,-105.39328843619033,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
49,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.476299170366925,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,True,"{'a': 0.0, 'e': 0.0}",25,5,17.53988217383107,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.38864070562147,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
52,True,"{'a': 0.0, 'e': 0.0}",20,0,-19.906961515646408,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
53,True,"{'a': 0.0, 'e': 0.0}",20,0,-2.7015973238040685,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
54,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.819715218533418,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
55,True,"{'a': 0.0, 'e': 0.0}",25,0,-79.67502319596034,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
56,True,"{'a': 0.0, 'e': 0.0}",20,11,17.31262401523566,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.0, 'e': 0.0}",20,0,-79.7789564158348,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
58,True,"{'a': 0.0, 'e': 0.0}",30,0,-85.34706075736031,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
59,True,"{'a': 0.0, 'e': 0.0}",25,8,3.4311009332529268,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
60,True,"{'a': 0.0, 'e': 0.0}",25,0,33.60815936508416,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,True,"{'a': 0.0, 'e': 0.0}",30,0,-64.33443630096063,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
62,True,"{'a': 0.0, 'e': 0.0}",20,0,-21.68051610174978,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
63,True,"{'a': 0.0, 'e': 0.0}",30,23,13.846225667113181,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0.0, 'e': 0.0}",25,20,8.889964533697686,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0.0, 'e': 0.0}",25,0,-43.2137551386302,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
66,True,"{'a': 0.0, 'e': 0.0}",25,15,-33.22357810895893,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
